urdu,english
سب اچھے نام اُسی کے ہیں۔,All the good names are his.
چینی وزارت دفاع کے مطابق بیجنگ حکومت کی ڈیفنس پالیسی بنیادی طور پر دفاعی نوعیت کی ہے اور اِس کا مرکزی نکتہ چین کی سلامتی اور جغرافیائی حد بندی کو محفوظ رکھنا ہے۔,"According to the Chinese Ministry of Defense, the Beijing government's defense policy is primarily defensive and its main point is to protect China's security and geographical boundary."
آپ نے فرمایا، سلمان نے سچ کہا۔,"You said, Salman told the truth."
55 سالہ آئرک الگزحمیدالعین کو واشنگٹن میں عمرقید کے علاوہ 30 سال کی سزاسنائی گئی۔,The 55 -year -old Irk Alexander Ayeen was sentenced to 30 years in addition to his life in Washington.
تکفیر کے لیے ضروری ہے کہ آدمی نے قطعی، واضح اور غیر محتمل نص سے ثابت شریعت کے کسی اصولی اور اساسی حکم کا انکار کیا ہو۔,"It is necessary for the Takfir that the man has denied any principle and basic order of the Shari'ah proven by definite, clear and non -existent."
منشی اسماعیل نے مسٹر کلاڈ رسل کی ملازمت خاصے تامل کے بعد قبول کی۔,Munshi Ismail accepted Mr Claude Russell's job after Tamil.
وہ ان خواتین سے یکے بعد دیگرے شادی کرتا ہے اور کچھ دن کے بعدانھیں طلاق دے کر نئی خواتین سے شادی کر لیتا ہے۔,"He marries these women after another and after a few days, he divorces and marries new women."
اس کے بعد یہ معمول بن گیا کہ مکہ مکرمہ کے علاقہ سے جو شخص بھی مسلمان ہوتا وہ مدینہ منورہ جانے کی بجائے حضرت ابوبصیرؓ کے کیمپ میں پہنچ جاتا۔,After that it became routine that the person who was a Muslim from the area of ​​Makkah would reach the camp of Hazrat Abu Basir instead of going to Medina.
فلم کی ہدایتکاری اچھی تھی، ڈائیلاگ برجستہ تھے، سیچوئیشن بھی دلچسپ تھیں۔,"The film's directing was good, the dialogue was in the process, the seventh was also interesting."
مزدوروں کے مسائل ان سے بہتر کوئی نہیں جانتا۔,No one knows better than the workers' problems.
یقین عقل کی نظر میں تصورِ مطلق سے پیدا ہوتا ہے اور تجربی اور منطقی طور پر تصدیق پاتا ہے اور یہ تصور و تصدیق مل کر علم کی اکائی تشکیل دیتے ہیں۔,"In the eyes of the intellect, belief is created from the concept of absolute and is found to be experienced and logically, and these concepts form together the unit of knowledge."
بل کے تحت تعلیمی وسرکاری اداروں، عدالت، دفاتر، ہوٹلوں اور پارکوں میں تمباکو نوشی کرنے پر سخت پابندی عائد ہو گئی اور دکانداروں کو 18 سال سے کم عمر نوجوانوں کو تمباکو فروخت کرنے کی اجازت نہیں ہوگی۔,"Under the bill, smoking in educational institutions, courts, offices, hotels and parks was strictly banned and shopkeepers will not be allowed to sell tobacco to young people under the age of 18."
"امت مسلمہ کے اتحاد کی اہمیت کو اجاگر کرتے ہوئے وہ کہتے ہیں: .. .For the present every Muslim nation must sink into her own deeper self, temporarily focus her vision on herself alone, until all are strong and powerful to form a living family of republics. A true and living unity, according to the nationalist thinkers, is not so easy as to be achieved by a merely symbolical overlordship. It is truly manifested in a multiplicity of free independent units whose racial rivalries are adjusted and harmonized by the unifying bond of a common spiritual aspiration. It seems to me that God is slowly bringing home to us the truth that Islam is neither Nationalism nor Imperialism but a League of Nations which recognizes artificial boundaries and racial distinctions for facility of reference only, and not for restricting the social horizon of its members .۱۰؂ ”...بحالت موجودہ تو یہی معلوم ہوتا ہے کہ امم اسلامیہ میں ہر ایک کو اپنی ذات میں ڈوب جانا چاہیے۔","Highlighting the importance of the unity of the Muslim Ummah, he says: .for the present every muslim nation must sink into her own deeper self, temporarily focus her Vision on Hersolf Alone, Until All Are Strong And Powerful To Form A Living Family OfRepublics.A True and Living Unity, Accorder To the Nationalist thinkers, not so easy as to be achieved by a merely Symbolical overladdship.It is truly manifted in a multiplicity of Free Independent Units Whose Racial Ravalries Are Adjuted and Harmonized by the Unifying Bond of a Common SPIRITIL ASPIRATION.It seems to me that God is slowly bringing home to us the truth is neither system nor imperialism but a League of Nations which recognizes artificial bondies and RACIAL DISTINATIONS FOR FACIALITY OFReference only, and not for restricting the social Horizon of its Members."
یہاں خبر واحد کا عقیدہ چونکہ قرآن کے بیانات سے متناقض ہے لہٰذا اس معاملے میں قرآن ہی کے بیان کو حاکم سمجھا جائے گا۔,"Since the belief of the news here is contrary to the statements of the Qur'an, the statement of the Qur'an will be considered as ruler in this matter."
ذاتی دوستوں کے بجائے کشمیری صحافیوں کی کسی نمائیندہ تنظیم کو شرکاء کے انتخاب کے لئے کیوں نہیں کہا؟,Why didn't they ask a representative organization of Kashmiri journalists instead of personal friends to select participants?
یہ اُسی دین كو پیش كرتا ہے جو اِس سے پہلےسابقہ انبیا اور رسولوں نے پیش كیا۔,It offers the religion that was presented by the Prophets and the apostles before.
ڈاکٹر عاصم حسین کی عدالت میں ضمانت کی درخواست دائر کراچی: سابق مشیر پٹرولیم ڈاکٹر عاصم حسین نے انسداد دہشت گردی کی عدالت میں ضمانت کی درخواست دائر کر دی ہے۔,KARACHI: Former Advisor Petroleum Dr Asim Hussain has filed a bail plea in the Anti -Terrorism Court.
یاد رہے کہ یہ وعیدآپ صلی اللہ علیہ وسلم کے خطبوں میں شامل ہوتی تھی، اور آج بھی جمعہ کے خطبوں میں پڑھی جاتی ہے۔,"Remember that this promise was included in the sermons of the Prophet (peace and blessings of Allaah be upon him), and is still read in Friday sermons."
توبہ-توبہ کا ورد کرتے ہوئے اس ہونہار رپورٹر نے بھارتی شہریوں کی ایک کثیر تعداد میں بغیر ویزے کے لاہور میں موجودگی کے حوالے سے قومی سلامتی کو ممکنہ خدشات کے بارے میں دہائی مچادی۔,"Repeated repentance, this talented reporter raised a decade about the potential concerns of national security regarding the presence of a large number of Indian nationals in Lahore without a visa."
براہ کرم نوٹ فرمائیے کہ اس تبصرے کا مصنف اس مغالطے کا شکار ہے کہ جسے میری تجویز پاکستان کی اسکیم سے تعلق رکھتی ہے۔,Please note that the author of this comment is suffering from the confusion that my proposal belongs to the Pakistan scheme.
اس روایت میں ’الضبع‘ کا لفظ آیا ہے۔,In this tradition the word 'al -Zaba' has come.
وہ آرمی کے اِس تعمیری کردار کو بھی گناہ کبیرہ تصور کرتے ہیں۔,They also consider this Army's constructive role a sin.
مثال کے طور پر زید نے احمد کو آج ایک لاکھ روپے دیے اور احمد نے دوچار سال کے بعد کسی اضافے کے بغیر اصل رقم واپس کر دی تو اس کا مطلب یہ ہو گا کہ اس نے زید کو باعتبار مالیت ایک لاکھ کے بجائے پچاسی ہزار ہی واپس کیے۔,"For example, Zaid gave Ahmed one lakh rupees today and Ahmed returned the original money without any increase after two years, so it would mean that he returned Zaid to fifty thousand instead of one lakh."
پہلے خطاب میں نواز شریف نے جوڈیشل کمیشن کا اعلان کیا جس کو اپوزیشن نے مسترد کر دیا اور اس کو ذاتی خطاب قرار د یا ۔,"In the first address, Nawaz Sharif announced the Judicial Commission, which was rejected by the opposition and declared it a personal address."
دوسری جانب بشارالاسد کے خلاف جنگ کا بہانہ لے کر ایران، عراق اور شام کو روس کی چھتری کے نیچے کھڑا کر دیا گیا۔,"On the other hand, Iran, Iraq and Syria were erected under the umbrella of Russia, with an excuse for the war against Bashar al -Assad."
"ہر جگہ لڑکیوں سے کہا جاتا ہے کہ ""ابھی اپنی پسند کے کپڑے پہنو ، شادی کے بعد تو شوہر ہی کی پسند کے کپڑے پہننے ہیں""۔","Everywhere girls are told, ""Wear your choice now, after marriage, the husband has to wear clothes of choice""."
"روسی انقلاب کے بانی ولادی میر لینن نے اپنی جدوجہد میں اسی نقطے کی تفہیم ان الفاظ میں کی تھی ""جنگ بذات خود کوئی مقصد نہیں ہوتی، بلکہ یہ سیاست کا ایک آلہ ہوتی ہے۔","In his struggle, Vladimir Lenin, the founder of the Russian Revolution, understood the same point in the words ""War itself is not aimed at itself, but it is a tool of politics."""
جرمن چانسلر انگیلا میرکل اور بھارتی وزیر اعظم نریندر مودی نے توانائی کے شعبے کے علاوہ جرمنی کی بھارت میں سرمایا کاری کی رفتار تیز کرنے سے متعلق متعدد سمجھوتوں پر دستخط کر دیے ہیں۔,"German Chancellor Angela Merkel and Indian Prime Minister Narendra Modi have signed several agreements on the energy sector, as well as Germany's acceleration of investment in India."
سابق سویت یونین کے خلاف جنگ میں ملا اختر منصور نے بھی حصہ لیا تھا اور 90 کی دہائی کے آخر میں جب افغانستان میں ملا عمر کی سربراہی میں تحریک طالبان بنائی گئی تو ملا اختر محمد منصوراُس میں شامل ہوئے۔,"Mullah Akhtar Mansoor also participated in the war against the former Soviet Union, and Mullah Akhtar Mohammad joined Mansoor in the late 90s when Mullah Omar was led by Mullah Omar."
مولوی عبد الحق کے مضمون کے اختتام پر ظفر علی خاں نے ”رحلت مصطفی کا مل پا شا“ نظم بھی لکھی ہے۔,"Zafar Ali Khan has also written the poem ""Rahmat Mustafa's meeting"" at the end of Maulvi Abdul Haq's article."
تمام محققین یہی مانتے ہیں۔,That's what all the researchers believe.
میں نے سوچا میں اِسے اگر اپنے کندھے پر لٹکا لوں تو لوگ مجھ سے خوف کھائیں گے ۔,"I thought I would hang him on my shoulder, people would be afraid of me."
ڈاکٹر فوزیہ صدیقی نے خواتین کے عالمی دن کے موقع پر بہت خوب کہا کہ : دنیا نے عافیہ کو یاد رکھا ، حکمرانوں نے نظر انداز کیا ، خواتین کے عالمی دن پر بھی حکومت مغرب کے پیروں کو چاٹتی رہی کس قدر افسوس اور قلق کی بات ہے کہ خواتین کے عالمی ڈے پر بھی حکومت نے قوم کی بیٹی کو فراموش کر دیا ۔,"Dr. Fauzia Siddiqui said very well on the occasion of World Women's Day: The world remembered Aafia, the rulers ignored, even on the International Women's Day, the government kept licking the feet of the West."
انہیں مفت تعلیم، صحت اور دیگر سہولتیں بھی مہیا کی جا رہی ہیں۔,"They are also being provided free education, health and other facilities."
یہ جلد کو جُھریوں سے بچاتی ہے اور جلد کو نرم وتازہ رکھتی ہے۔,It protects the skin from zodiacs and keeps the skin soft.
اور والدین کی احسان فراموشی تو گناہ کبیرہ کے زمرے میں آتی ہے۔,And the kindness of the parents falls into the category of sin.
اس مقصد کے حصول کے لیے سب سے موثر طریقہ روزہ ہے۔,Fasting is the most effective way to achieve this goal.
یوں یہ ایسا ڈھونگ اور ڈرامہ بن گیا ہے جس کے ذریعے بے پناہ دولت رکھنے والا امیدوار ہی جیت سکتا ہے۔,Thus it has become a drama and a drama through which only a candidate with a wealthy wealth can win.
بات تلخ ہے، لیکن حقیقت یہ ہے کہ مسلمانوں کے مختلف فرقوں، مسلکوں، مشربوں اورجماعتوں نے ایک دوسرے کے خلاف تکفیر و تفسیق کابے محابااوربے مہاراستعمال کیا ہے اور آج بھی اس میں کوئی کمی بعض اہل افتااوراہل مدارس کی روش کو دیکھتے ہوئے کہناپڑرہاہے کہ نہیں آ رہی ہے۔,"The thing is bitter, but the fact is that different sects, cults, polytheists and congregations of Muslims have used the takfir and unprecedented masterpiece against each other, and even today, there is no shortage of it, looking at the attitude of some elite and the madrassas."
وہ سوچتے ہیں کہ کیاواقعی مقررہ مدت تک انتخابات ہو جائیں گے؟,They think that elections will be held for a long period of time?
یہ وہ ترازو ہے جس پر ہر چیز کو تولا جانا ہے۔,This is the scales on which everything has to be weighed.
جی ہاں وہ زلزلہ ہی تھا۔,Yes it was an earthquake.
اللہ بڑی قدرت والا ہے، اور اللہ غفور و رحیم ہے۔,"Allah is All -power, and Allah is Forgiveness and Mercy."
انسان چونکہ اِس دنیا میں اپنا ایک عملی وجود بھی رکھتا ہے، اِس لیے اللہ تعالیٰ کے لیے اُس کا جذبۂ عبادت جب اُس کے عملی وجود سے متعلق ہوتا ہے تو پرستش کے ساتھ اطاعت کو بھی شامل ہو جاتا ہے۔,"Since man also has his own practical existence in this world, his passion for Almighty, when he is related to his practical existence, also involves obedience with worship."
پولیس کا کہنا ہے کہ پریس کلب کا گھیراؤ کرنے والے مظاہرین کی شناخت کے بعد انسداد دہشت گردی ایکٹ کے تحت مقدمہ درج کیا جائے گا۔,Police say a case will be registered under the Anti -Terrorism Act after the press club's protesters were identified.
خاص طور پر جامعات میں تحقیقی مقالات لکھنے کے لیے طلبہ کی اکثریت فکشن کو اپنا موضوع بنانے کی خواہش مند نظر آتی ہے۔,"The majority of students, especially in the universities, look forward to making fiction their subject."
یہ لوگ تم میں سے اچھے لوگ نہیں۔,These people are not good people.
گذشتہ دو ہفتوں کے دوران حلب میں شدید ہونے والی لڑائی میں 300 سو کے قریب لوگ مارے جا چکے ہیں۔,About 300 people have been killed in a severe fighting in Aleppo over the past two weeks.
خیر یہی واقعہ اکڑ دکھانے والا خواجہ سعد رفیق اور احسن اقبال پر بھی فٹ ہو سکتا ہے۔,"Well, the same incident can be fitted on Khawaja Saad Rafiq and Ahsan Iqbal."
انھیں کے حساب سے ٹالسٹائی کے ناول War and Peace کے اردو مترجم شاہد حمید صاحب، اگرچہ بڑے محنتی ہیں، صحتِ لفظی کا کچھ زیادہ ہی خیال رکھتے ہیں۔,"According to him, Shahid Hameed Sahib, the Urdu translator of Tolstoy's novel War and Peace, has a lot of care for the literal health."
آج کے میچ میں بلال آصف کو عمدہ آل رائونڈر کارکردگی پر مین آف دی میچ قراردیاگیا ،جنہوں نے 5 وکٹیں لینے کے ساتھ اسکور میں 38 رنز کا اضافہ بھی کیا ۔,"In today's match, Bilal Asif was declared Man of the Match on the excellent all -rounder performance, who took 5 wickets and added 38 runs."
